test,nthreads,serial,parallel,speedup,total_serial,total_parallel,total_speedup
1,64,0.196258,0.003685,53.258616010854816,0.2012648582458496,0.055907487869262695,3.599962472227316
1,64,0.195809,0.003675,53.28136054421769,0.2007582187652588,0.06521058082580566,3.0786141792163444
1,64,0.199478,0.003736,53.39346895074946,0.2044060230255127,0.05483889579772949,3.72739129867702
1,64,0.196863,0.003677,53.53902638020125,0.2015209197998047,0.0660848617553711,3.0494263655386393
1,64,0.199328,0.00371,53.72722371967655,0.20426297187805176,0.06609082221984863,3.0906405007124693
1,64,0.198556,0.003685,53.88222523744912,0.20343279838562012,0.0692298412322998,2.9385131435301735
1,64,0.198259,0.003679,53.88937211198695,0.20297574996948242,0.06530642509460449,3.1080517678841977
1,64,0.198198,0.003676,53.91675734494016,0.2031562328338623,0.06648755073547363,3.0555529657294285
1,64,0.197732,0.003651,54.15831279101616,0.20290303230285645,0.06554245948791504,3.095749440715884
1,64,0.1979,0.003654,54.15982484948002,0.20268988609313965,0.06607651710510254,3.0675025708564108
1,64,0.199366,0.003676,54.23449401523395,0.20395946502685547,0.06583189964294434,3.098185927082164
1,64,0.202063,0.003712,54.435075431034484,0.20689725875854492,0.06882214546203613,3.0062599381281156
1,64,0.198968,0.003653,54.467013413632635,0.20426487922668457,0.05484437942504883,3.7244450820313517
1,64,0.201179,0.003677,54.71280935545281,0.2059314250946045,0.06506991386413574,3.164771748808272
1,64,0.203509,0.003676,55.361534276387374,0.2090010643005371,0.055265188217163086,3.781785081040039
1,64,0.203587,0.003677,55.36769105248844,0.20882034301757812,0.058011770248413086,3.5996202516038616
1,64,0.207349,0.003714,55.829025309639206,0.21268653869628906,0.07333254814147949,2.90030203622484
1,64,0.208507,0.003715,56.1257065948856,0.2138688564300537,0.05640125274658203,3.7919167751644376
1,64,0.214887,0.003775,56.92370860927152,0.22039556503295898,0.056171417236328125,3.9236247877758914
1,64,0.213147,0.003739,57.00641882856379,0.21801471710205078,0.05753636360168457,3.789163990469284
1,64,0.21467,0.003678,58.365959760739536,0.22013545036315918,0.057936668395996094,3.799587661108459
1,64,0.230871,0.003677,62.78787054664128,0.23572921752929688,0.055727243423461914,4.230053436126929
1,64,0.236471,0.003693,64.03222312483075,0.24180865287780762,0.05964350700378418,4.054232640318513
1,64,0.238817,0.003678,64.93121261555193,0.244002103805542,0.05704998970031738,4.276987692500574
1,64,0.25111,0.003775,66.51920529801325,0.25707125663757324,0.08408904075622559,3.0571315158990062
2,64,0.445512,0.009279,48.012932428063365,0.4560058116912842,0.08327651023864746,5.475803565549247
2,64,0.47472,0.009802,48.4309324627627,0.4845573902130127,0.07707357406616211,6.286945896618925
2,64,0.500529,0.010194,49.100353148911125,0.5096738338470459,0.08092856407165527,6.297823762148722
2,64,0.440977,0.008864,49.74921028880866,0.45005106925964355,0.07870888710021973,5.717919358796107
2,64,0.443171,0.008864,49.99672833935018,0.45221924781799316,0.08015179634094238,5.642035094190332
2,64,0.443148,0.008862,50.005416384563304,0.45174598693847656,0.07985544204711914,5.6570469758582185
2,64,0.446577,0.008846,50.48349536513679,0.4553520679473877,0.07892322540283203,5.769557257996302
2,64,0.450078,0.008896,50.59330035971223,0.45894622802734375,0.07955265045166016,5.769087835812844
2,64,0.442317,0.008709,50.78849466069583,0.4516463279724121,0.07151603698730469,6.315315375383385
2,64,0.495248,0.009749,50.799876910452355,0.5049130916595459,0.07800960540771484,6.472447707184684
2,64,0.444645,0.008751,50.810764484058964,0.45340490341186523,0.07885003089904785,5.750218462087378
2,64,0.443375,0.008674,51.115402351856126,0.45194554328918457,0.07866668701171875,5.745068979730385
2,64,0.442041,0.008647,51.120735515207585,0.45087265968322754,0.07917618751525879,5.694548750485563
2,64,0.445949,0.008704,51.23494944852941,0.45503926277160645,0.07908248901367188,5.753982562346245
2,64,0.447682,0.008718,51.351456756136734,0.4565012454986572,0.08052849769592285,5.668816115537318
2,64,0.449694,0.008749,51.39947422562579,0.4587399959564209,0.07892417907714844,5.812413905604292
2,64,0.451297,0.008723,51.73644388398487,0.4606008529663086,0.07853388786315918,5.8649949149197775
2,64,0.443252,0.008551,51.8362764588937,0.45239710807800293,0.0806434154510498,5.609845584387556
2,64,0.442386,0.008529,51.86844882166725,0.45099973678588867,0.07819342613220215,5.767744925556535
2,64,0.443151,0.008532,51.93987341772152,0.45206284523010254,0.08033919334411621,5.62692785940463
2,64,0.44288,0.008526,51.94463992493549,0.45154547691345215,0.07884097099304199,5.727294720321274
2,64,0.438573,0.008414,52.124197765628715,0.44785594940185547,0.07663583755493164,5.843949302189563
2,64,0.464517,0.008855,52.458159232072276,0.47383952140808105,0.07983136177062988,5.9355059327374216
2,64,0.444345,0.008467,52.47962678634699,0.45356273651123047,0.07814311981201172,5.804256825199234
2,64,0.444004,0.00844,52.60710900473934,0.45305800437927246,0.07889342308044434,5.742658724762242
2,64,0.444165,0.008412,52.80135520684736,0.4530014991760254,0.07734870910644531,5.856613567430276
2,64,0.444507,0.00839,52.98057210965435,0.45302414894104004,0.0788576602935791,5.74483375812162
2,64,0.448751,0.008443,53.15065734928343,0.4576103687286377,0.07801508903503418,5.865664891097399
2,64,0.441638,0.008308,53.15816080885893,0.4503211975097656,0.08092570304870605,5.564625088752515
2,64,0.457438,0.008603,53.17191677321865,0.4666786193847656,0.07906341552734375,5.902586123709351
2,64,0.447251,0.008407,53.19983347210658,0.4562549591064453,0.06900763511657715,6.611659106063799
2,64,0.450132,0.008445,53.301598579040856,0.45905256271362305,0.07939791679382324,5.781670114918368
2,64,0.449433,0.008409,53.44666428826258,0.45806384086608887,0.06901884078979492,6.6367941800294314
2,64,0.451381,0.008441,53.47482525767089,0.4608800411224365,0.08017563819885254,5.7483800749968035
2,64,0.444361,0.008306,53.49879605104744,0.4533417224884033,0.0807499885559082,5.61413977383448
2,64,0.443913,0.008277,53.63211308445089,0.45282411575317383,0.07741904258728027,5.849001752284282
2,64,0.446275,0.008306,53.729231880568264,0.45555996894836426,0.07862567901611328,5.794035417551095
2,64,0.444694,0.008252,53.88923897237033,0.45360565185546875,0.07745194435119629,5.856607676608477
2,64,0.449506,0.008304,54.13126204238921,0.458820104598999,0.07845020294189453,5.848552169314742
2,64,0.455855,0.008407,54.22326632568098,0.46450328826904297,0.06795454025268555,6.83550041751163
2,64,0.451873,0.008281,54.56744354546552,0.4609558582305908,0.0694425106048584,6.637949207417352
2,64,0.461596,0.008446,54.65261662325361,0.47068095207214355,0.06960940361022949,6.76174378260259
2,64,0.456388,0.008215,55.55544735240414,0.4651777744293213,0.06854820251464844,6.786141100197557
2,64,0.46229,0.008271,55.89287873292225,0.47110438346862793,0.06771993637084961,6.956657207838388
2,64,0.481388,0.008452,56.95551348793185,0.4902617931365967,0.07055854797363281,6.9482976509069285
2,64,0.476804,0.008274,57.626782692772544,0.48598146438598633,0.07928776741027832,6.1293372264002866
2,64,0.479421,0.008318,57.636571291175756,0.48853135108947754,0.07202720642089844,6.782594735587745
2,64,0.483154,0.008274,58.39424703891709,0.4919407367706299,0.07884407043457031,6.23941323753538
2,64,0.603201,0.009977,60.459156058935555,0.6154167652130127,0.08310389518737793,7.405390130335118
2,64,0.525933,0.008314,63.258720230935765,0.5347921848297119,0.07448029518127441,7.180317740794448
3,64,1.750752,0.038025,46.04213017751479,1.7824463844299316,0.15998482704162598,11.141346447598822
3,64,1.78884,0.038456,46.51653838152694,1.8251028060913086,0.15883851051330566,11.490304210189773
3,64,1.847075,0.03713,49.74616213304605,1.8793389797210693,0.15312814712524414,12.272981910921644
3,64,1.748926,0.034729,50.35923867661032,1.7810070514678955,0.1565089225769043,11.379587963061699
3,64,1.764524,0.034927,50.52034242849371,1.796166181564331,0.14170598983764648,12.675301754161634
3,64,1.749064,0.034583,50.57583205621258,1.7814197540283203,0.15009284019470215,11.868785691025916
3,64,1.755289,0.034693,50.59490387109792,1.7887098789215088,0.15291833877563477,11.697157405992646
3,64,1.832549,0.036209,50.61031787677097,1.867497444152832,0.14572954177856445,12.814817238569844
3,64,1.751313,0.034603,50.6115943704303,1.7831263542175293,0.1530148983001709,11.653285882787387
3,64,1.751616,0.034607,50.61449995665617,1.7833328247070312,0.1562185287475586,11.415629368708297
3,64,1.759979,0.034728,50.67896222068647,1.7945637702941895,0.1550312042236328,11.57550042445344
3,64,1.777224,0.034596,51.37079431148109,1.8089148998260498,0.15424752235412598,11.727351416855111
3,64,1.749108,0.034044,51.377863940782525,1.7807960510253906,0.1506214141845703,11.822993833023085
