test,nthreads,serial,parallel,speedup,total_serial,total_parallel,total_speedup
3,0,0.422459,0.013173,32.0700,0,0,0
3,0,0.422534,0.013174,32.0733,0,0,0
3,0,0.422697,0.013171,32.0930,0,0,0
3,0,0.422716,0.013171,32.0944,0,0,0
3,0,0.422753,0.013171,32.0972,0,0,0
3,0,0.422838,0.013172,32.1012,0,0,0
3,0,0.422731,0.013168,32.1029,0,0,0
3,0,0.422902,0.013173,32.1036,0,0,0
3,0,0.422903,0.013173,32.1037,0,0,0
3,0,0.424720,0.013229,32.1052,0,0,0
3,0,0.423002,0.013175,32.1064,0,0,0
3,0,0.422994,0.013172,32.1131,0,0,0
3,0,0.423011,0.013172,32.1144,0,0,0
3,0,0.423066,0.013173,32.1161,0,0,0
3,0,0.423003,0.013171,32.1162,0,0,0
3,0,0.423004,0.013170,32.1187,0,0,0
3,0,0.423080,0.013172,32.1196,0,0,0
3,0,0.423143,0.013173,32.1219,0,0,0
3,0,0.423270,0.013176,32.1243,0,0,0
3,0,0.423179,0.013173,32.1247,0,0,0
3,0,0.423067,0.013169,32.1259,0,0,0
3,0,0.423150,0.013171,32.1274,0,0,0
3,0,0.423226,0.013173,32.1282,0,0,0
3,0,0.423323,0.013175,32.1307,0,0,0
3,0,0.423303,0.013172,32.1365,0,0,0
3,0,0.423608,0.013181,32.1377,0,0,0
3,0,0.423394,0.013174,32.1386,0,0,0
3,0,0.423406,0.013172,32.1443,0,0,0
3,0,0.423419,0.013172,32.1453,0,0,0
3,0,0.423498,0.013170,32.1562,0,0,0
3,0,0.423654,0.013171,32.1656,0,0,0
3,0,0.423736,0.013173,32.1670,0,0,0
3,0,0.423850,0.013176,32.1683,0,0,0
3,0,0.423792,0.013173,32.1712,0,0,0
3,0,0.423867,0.013173,32.1769,0,0,0
3,0,0.424015,0.013176,32.1808,0,0,0
3,0,0.424055,0.013172,32.1936,0,0,0
3,0,0.424697,0.013173,32.2399,0,0,0
3,0,0.424775,0.013175,32.2409,0,0,0
3,0,0.425312,0.013172,32.2890,0,0,0
4,0,0.402153,0.014051,28.6209,0,0,0
4,0,0.401132,0.013996,28.6604,0,0,0
4,0,0.401913,0.013995,28.7183,0,0,0
4,0,0.415870,0.014054,29.5908,0,0,0
4,0,0.416052,0.014055,29.6017,0,0,0
4,0,0.414885,0.013995,29.6452,0,0,0
4,0,0.415266,0.014000,29.6618,0,0,0
4,0,0.415503,0.013997,29.6851,0,0,0
4,0,0.415486,0.013993,29.6924,0,0,0
4,0,0.415669,0.013996,29.6991,0,0,0
4,0,0.415696,0.013996,29.7010,0,0,0
4,0,0.415879,0.014001,29.7035,0,0,0
4,0,0.415709,0.013994,29.7062,0,0,0
4,0,0.415816,0.013995,29.7117,0,0,0
4,0,0.415891,0.013996,29.7149,0,0,0
4,0,0.415882,0.013995,29.7164,0,0,0
4,0,0.415878,0.013994,29.7183,0,0,0
4,0,0.415902,0.013994,29.7200,0,0,0
4,0,0.415999,0.013997,29.7205,0,0,0
4,0,0.416020,0.013997,29.7220,0,0,0
4,0,0.415972,0.013993,29.7271,0,0,0
4,0,0.416055,0.013994,29.7309,0,0,0
4,0,0.416156,0.013995,29.7360,0,0,0
4,0,0.416201,0.013995,29.7392,0,0,0
4,0,0.416151,0.013993,29.7399,0,0,0
4,0,0.416231,0.013995,29.7414,0,0,0
4,0,0.416270,0.013995,29.7441,0,0,0
4,0,0.416308,0.013996,29.7447,0,0,0
4,0,0.416213,0.013992,29.7464,0,0,0
4,0,0.416325,0.013993,29.7523,0,0,0
4,0,0.416644,0.014001,29.7581,0,0,0
4,0,0.416407,0.013993,29.7582,0,0,0
4,0,0.416544,0.013993,29.7680,0,0,0
4,0,0.416599,0.013994,29.7698,0,0,0
4,0,0.416729,0.013995,29.7769,0,0,0
4,0,0.416764,0.013996,29.7773,0,0,0
4,0,0.416791,0.013995,29.7814,0,0,0
4,0,0.416707,0.013992,29.7818,0,0,0
4,0,0.416849,0.013996,29.7834,0,0,0
4,0,0.416789,0.013994,29.7834,0,0,0
4,0,0.416929,0.013997,29.7870,0,0,0
4,0,0.416891,0.013994,29.7906,0,0,0
4,0,0.417138,0.013995,29.8062,0,0,0
4,0,0.417069,0.013991,29.8098,0,0,0
4,0,0.417327,0.013998,29.8133,0,0,0
4,0,0.417204,0.013992,29.8173,0,0,0
4,0,0.417373,0.013993,29.8272,0,0,0
4,0,0.418030,0.014011,29.8358,0,0,0
4,0,0.418077,0.013994,29.8754,0,0,0
4,0,0.419961,0.013993,30.0122,0,0,0
5,0,2.280109,0.043278,52.6851,0,0,0
5,0,2.281043,0.043274,52.7116,0,0,0
5,0,2.285260,0.043341,52.7274,0,0,0
5,0,2.282250,0.043282,52.7297,0,0,0
5,0,2.282939,0.043280,52.7481,0,0,0
5,0,2.283636,0.043290,52.7520,0,0,0
5,0,2.285017,0.043280,52.7961,0,0,0
5,0,2.288760,0.043339,52.8106,0,0,0
5,0,2.285647,0.043279,52.8119,0,0,0
5,0,2.285651,0.043278,52.8132,0,0,0
5,0,2.286034,0.043281,52.8184,0,0,0
5,0,2.286074,0.043278,52.8230,0,0,0
5,0,2.286151,0.043279,52.8235,0,0,0
5,0,2.286188,0.043279,52.8244,0,0,0
5,0,2.286108,0.043275,52.8274,0,0,0
5,0,2.286232,0.043277,52.8278,0,0,0
5,0,2.286466,0.043279,52.8308,0,0,0
5,0,2.286614,0.043281,52.8318,0,0,0
5,0,2.286368,0.043275,52.8334,0,0,0
5,0,2.286891,0.043283,52.8357,0,0,0
5,0,2.287004,0.043281,52.8408,0,0,0
5,0,2.286964,0.043274,52.8484,0,0,0
5,0,2.287628,0.043286,52.8491,0,0,0
5,0,2.287871,0.043282,52.8596,0,0,0
5,0,2.288045,0.043282,52.8636,0,0,0
5,0,2.288315,0.043282,52.8698,0,0,0
5,0,2.288373,0.043282,52.8712,0,0,0
5,0,2.288287,0.043280,52.8716,0,0,0
5,0,2.288401,0.043281,52.8731,0,0,0
5,0,2.288089,0.043275,52.8732,0,0,0
5,0,2.289283,0.043292,52.8800,0,0,0
5,0,2.289132,0.043283,52.8875,0,0,0
5,0,2.288968,0.043279,52.8886,0,0,0
5,0,2.289493,0.043285,52.8934,0,0,0
5,0,2.289235,0.043277,52.8972,0,0,0
5,0,2.289426,0.043276,52.9029,0,0,0
5,0,2.289468,0.043276,52.9038,0,0,0
5,0,2.289433,0.043275,52.9042,0,0,0
5,0,2.289850,0.043281,52.9065,0,0,0
5,0,2.290013,0.043279,52.9127,0,0,0
5,0,2.289875,0.043276,52.9132,0,0,0
5,0,2.290209,0.043278,52.9185,0,0,0
5,0,2.290554,0.043281,52.9228,0,0,0
5,0,2.290400,0.043278,52.9229,0,0,0
5,0,2.290395,0.043277,52.9240,0,0,0
5,0,2.290789,0.043279,52.9307,0,0,0
5,0,2.291543,0.043283,52.9432,0,0,0
5,0,2.291198,0.043274,52.9462,0,0,0
5,0,2.291889,0.043279,52.9561,0,0,0
5,0,2.294560,0.043276,53.0215,0,0,0
