test,nthreads,serial,parallel,speedup,total_serial,total_parallel,total_speedup
1,64,0.072638,0.000942,77.1104033970276,0.07448720932006836,0.051213741302490234,1.4544379579713789
1,64,0.074759,0.000967,77.31023784901758,0.07660651206970215,0.05782270431518555,1.3248517684701846
1,64,0.071946,0.00093,77.36129032258064,0.07384824752807617,0.05064749717712402,1.4580828598462559
1,64,0.075383,0.000974,77.3952772073922,0.07729244232177734,0.050768136978149414,1.5224596946514697
1,64,0.073594,0.00093,79.13333333333334,0.07557439804077148,0.05563974380493164,1.358280841582037
1,64,0.073232,0.000925,79.16972972972974,0.07515883445739746,0.04838752746582031,1.5532687532027278
1,64,0.074029,0.000931,79.515574650913,0.07553529739379883,0.04934191703796387,1.5308545335942596
1,64,0.073123,0.000917,79.74154852780806,0.07501959800720215,0.050672054290771484,1.4804925329594323
1,64,0.07186,0.000901,79.7558268590455,0.07379031181335449,0.049239397048950195,1.4986030746882943
1,64,0.074126,0.000923,80.30985915492957,0.0756986141204834,0.05050516128540039,1.4988292719771141
1,64,0.071435,0.000885,80.71751412429379,0.07331681251525879,0.05107879638671875,1.4353668782673636
1,64,0.072204,0.000893,80.8555431131019,0.07405543327331543,0.050275325775146484,1.4729975814482856
1,64,0.073893,0.000901,82.01220865704772,0.07544493675231934,0.04921698570251465,1.5329044571793966
1,64,0.073294,0.000891,82.26038159371492,0.07489871978759766,0.05027270317077637,1.489848666644535
1,64,0.073038,0.000885,82.52881355932203,0.07500529289245605,0.049314022064208984,1.5209729353407013
1,64,0.072372,0.000875,82.71085714285715,0.07428598403930664,0.05055832862854004,1.469312496168483
1,64,0.073634,0.000884,83.29638009049773,0.07512927055358887,0.05247187614440918,1.4318007297246949
1,64,0.074813,0.000897,83.40356744704572,0.07698583602905273,0.05134987831115723,1.499240866016334
1,64,0.073979,0.000883,83.78142695356739,0.07577323913574219,0.04957127571105957,1.5285714972801647
1,64,0.073613,0.000878,83.84168564920273,0.07550835609436035,0.049146413803100586,1.53639605113154
1,64,0.071897,0.000857,83.89381563593932,0.0737006664276123,0.05048799514770508,1.459766152567505
1,64,0.071481,0.000852,83.89788732394366,0.07327723503112793,0.04922795295715332,1.4885289887009208
1,64,0.07429,0.000884,84.03846153846153,0.07582569122314453,0.049541473388671875,1.5305497805497805
1,64,0.074442,0.000884,84.21040723981899,0.07593846321105957,0.050714969635009766,1.4973579548125653
1,64,0.070753,0.000838,84.4307875894988,0.07264518737792969,0.04915642738342285,1.4778370041275215
1,64,0.071389,0.000842,84.78503562945367,0.07292437553405762,0.049666404724121094,1.4682837612089326
1,64,0.073187,0.000861,85.00232288037166,0.07513785362243652,0.04977703094482422,1.5094884567487308
1,64,0.071721,0.00084,85.38214285714284,0.07352304458618164,0.04910707473754883,1.4971986211584212
1,64,0.074996,0.000878,85.41685649202734,0.07691240310668945,0.04947042465209961,1.5547148351277627
1,64,0.072254,0.000843,85.71055753262159,0.07383179664611816,0.049748897552490234,1.4840891010342083
1,64,0.072122,0.000839,85.96185935637665,0.07399272918701172,0.050566911697387695,1.4632637569368154
1,64,0.07396,0.000859,86.10011641443539,0.07590293884277344,0.0495302677154541,1.5324556547690678
1,64,0.072025,0.000836,86.15430622009569,0.07385659217834473,0.04967522621154785,1.4867892470950743
1,64,0.073496,0.000853,86.1617819460727,0.07546472549438477,0.049268484115600586,1.5317038234283584
1,64,0.072509,0.000836,86.73325358851675,0.07400155067443848,0.05088353157043457,1.4543320479240562
1,64,0.072621,0.000837,86.76344086021507,0.0741274356842041,0.049813032150268555,1.4881133005633438
1,64,0.073169,0.000841,87.00237812128418,0.07514214515686035,0.0490415096282959,1.5322151729502418
1,64,0.073266,0.000837,87.53405017921148,0.07501959800720215,0.050718069076538086,1.4791493322427336
1,64,0.071984,0.000822,87.57177615571777,0.07351112365722656,0.04943680763244629,1.4869714930577325
1,64,0.073469,0.000838,87.67183770883055,0.07543587684631348,0.04932975769042969,1.5292164482078645
1,64,0.074043,0.000843,87.83274021352312,0.0759119987487793,0.04938793182373047,1.5370556317222468
1,64,0.074015,0.000842,87.90380047505938,0.07604837417602539,0.04918980598449707,1.5460189901947003
1,64,0.073914,0.00084,87.99285714285713,0.07590293884277344,0.05084705352783203,1.492769660708592
1,64,0.073948,0.000837,88.34886499402629,0.0758974552154541,0.04897594451904297,1.5496884431895628
1,64,0.077689,0.000876,88.68607305936072,0.07962656021118164,0.048337697982788086,1.647297317293322
1,64,0.073255,0.00082,89.33536585365854,0.07510948181152344,0.049512624740600586,1.516976371279572
1,64,0.075129,0.000838,89.6527446300716,0.07666468620300293,0.04964327812194824,1.5443115181611669
1,64,0.073787,0.00082,89.98414634146343,0.07571959495544434,0.04963040351867676,1.5256695409891192
1,64,0.073994,0.00082,90.23658536585367,0.07584285736083984,0.04943084716796875,1.534322426300355
1,64,0.075933,0.000838,90.61217183770883,0.0778343677520752,0.05032157897949219,1.5467393776295342
2,64,0.114955,0.002303,49.91532783326097,0.1176154613494873,0.055596351623535156,2.115524812597561
2,64,0.112533,0.00213,52.83239436619718,0.11522483825683594,0.054778099060058594,2.1034836957467924
2,64,0.113559,0.002084,54.49088291746641,0.1162109375,0.05513811111450195,2.1076336339972155
2,64,0.115636,0.002087,55.40776233828463,0.11830544471740723,0.0556340217590332,2.126494561723792
2,64,0.116022,0.002092,55.45984703632887,0.11876916885375977,0.05476665496826172,2.1686401866717744
2,64,0.115247,0.002039,56.52133398724865,0.11795711517333984,0.05507707595825195,2.1416735206268127
